"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.459","","01/01/2015","09/30/2015"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.553","","01/01/2015","09/30/2015"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.506","","01/01/2015","09/30/2015"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.518","","01/01/2015","09/30/2015"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.500","","01/01/2015","09/30/2015"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.413","","01/01/2015","09/30/2015"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.436","","01/01/2015","09/30/2015"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.258","","01/01/2015","09/30/2015"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.854","","01/01/2015","09/30/2015"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.920","","01/01/2015","09/30/2015"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.751","","01/01/2015","09/30/2015"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.630","","01/01/2015","09/30/2015"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.582","","01/01/2015","09/30/2015"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.607","","01/01/2015","09/30/2015"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.828","","01/01/2015","09/30/2015"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.957","","01/01/2015","09/30/2015"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.676","","01/01/2015","09/30/2015"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.647","","01/01/2015","09/30/2015"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.696","","01/01/2015","09/30/2015"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.219","","01/01/2015","09/30/2015"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.648","","01/01/2015","09/30/2015"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.529","","01/01/2015","09/30/2015"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.533","","01/01/2015","09/30/2015"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.657","","01/01/2015","09/30/2015"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.583","","01/01/2015","09/30/2015"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.730","","01/01/2015","09/30/2015"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.898","","01/01/2015","09/30/2015"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.491","","01/01/2015","09/30/2015"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","01/01/2015","09/30/2015"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.664","","01/01/2015","09/30/2015"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.607","","01/01/2015","09/30/2015"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.560","","01/01/2015","09/30/2015"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.604","","01/01/2015","09/30/2015"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.755","","01/01/2015","09/30/2015"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.855","","01/01/2015","09/30/2015"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.638","","01/01/2015","09/30/2015"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.701","","01/01/2015","09/30/2015"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.856","","01/01/2015","09/30/2015"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.016","","01/01/2015","09/30/2015"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.742","","01/01/2015","09/30/2015"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.730","","01/01/2015","09/30/2015"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.579","","01/01/2015","09/30/2015"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.691","","01/01/2015","09/30/2015"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.558","","01/01/2015","09/30/2015"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.620","","01/01/2015","09/30/2015"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.573","","01/01/2015","09/30/2015"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.605","","01/01/2015","09/30/2015"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.578","","01/01/2015","09/30/2015"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.761","","01/01/2015","09/30/2015"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.716","","01/01/2015","09/30/2015"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.478","","01/01/2015","09/30/2015"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.542","","01/01/2015","09/30/2015"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.579","","01/01/2015","09/30/2015"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.578","","01/01/2015","09/30/2015"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.615","","01/01/2015","09/30/2015"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","3.633","","01/01/2015","09/30/2015"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.812","","01/01/2015","09/30/2015"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.568","","01/01/2015","09/30/2015"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.480","","01/01/2015","09/30/2015"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.528","","01/01/2015","09/30/2015"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.622","","01/01/2015","09/30/2015"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.337","","01/01/2015","09/30/2015"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.756","","01/01/2015","09/30/2015"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.567","","01/01/2015","09/30/2015"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.495","","01/01/2015","09/30/2015"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.524","","01/01/2015","09/30/2015"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.440","","01/01/2015","09/30/2015"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.629","","01/01/2015","09/30/2015"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.685","","01/01/2015","09/30/2015"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.341","","01/01/2015","09/30/2015"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.578","","01/01/2015","09/30/2015"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.586","","01/01/2015","09/30/2015"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.070","","01/01/2015","09/30/2015"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.445","","01/01/2015","09/30/2015"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.267","","01/01/2015","09/30/2015"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.445","","01/01/2015","09/30/2015"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.533","","01/01/2015","09/30/2015"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.394","","01/01/2015","09/30/2015"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.572","","01/01/2015","09/30/2015"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.731","","01/01/2015","09/30/2015"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.384","","01/01/2015","09/30/2015"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","01/01/2015","09/30/2015"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.348","","01/01/2015","09/30/2015"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.507","","01/01/2015","09/30/2015"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.411","","01/01/2015","09/30/2015"
"MO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.486","","01/01/2015","09/30/2015"
"MP","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","09/30/2015"
"MS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.563","","01/01/2015","09/30/2015"
"MT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.401","","01/01/2015","09/30/2015"
"NC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.534","","01/01/2015","09/30/2015"
"ND","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.373","","01/01/2015","09/30/2015"
"NE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.599","","01/01/2015","09/30/2015"
"NH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.614","","01/01/2015","09/30/2015"
"NJ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.615","","01/01/2015","09/30/2015"
"NM","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.464","","01/01/2015","09/30/2015"
"NV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.426","","01/01/2015","09/30/2015"
"NY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.616","","01/01/2015","09/30/2015"
"OH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.467","","01/01/2015","09/30/2015"
"OK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.479","","01/01/2015","09/30/2015"
"OR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.388","","01/01/2015","09/30/2015"
"PA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.525","","01/01/2015","09/30/2015"
"PR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.271","","01/01/2015","09/30/2015"
"RI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.431","","01/01/2015","09/30/2015"
"SC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.562","","01/01/2015","09/30/2015"
"SD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.194","","01/01/2015","09/30/2015"
"TN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.443","","01/01/2015","09/30/2015"
"TX","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.516","","01/01/2015","09/30/2015"
"UT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.360","","01/01/2015","09/30/2015"
"VA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.495","","01/01/2015","09/30/2015"
"VI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.479","","01/01/2015","09/30/2015"
"VT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.312","","01/01/2015","09/30/2015"
"WA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.438","","01/01/2015","09/30/2015"
"WI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.354","","01/01/2015","09/30/2015"
"WV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.357","","01/01/2015","09/30/2015"
"WY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.082","","01/01/2015","09/30/2015"
"AK","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.458","","10/01/2014","09/30/2015"
"AL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.740","","10/01/2014","09/30/2015"
"AR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.581","","10/01/2014","09/30/2015"
"AS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"AZ","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.497","","10/01/2014","09/30/2015"
"CA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.541","","10/01/2014","09/30/2015"
"CO","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.479","","10/01/2014","09/30/2015"
"CT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.520","","10/01/2014","09/30/2015"
"DC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.582","","10/01/2014","09/30/2015"
"DE","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.305","","10/01/2014","09/30/2015"
"FL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.526","","10/01/2014","09/30/2015"
"GA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.634","","10/01/2014","09/30/2015"
"GU","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","5 - Results are not available for this reporting period.","10/01/2014","09/30/2015"
"HI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.125","","10/01/2014","09/30/2015"
"IA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.562","","10/01/2014","09/30/2015"
"ID","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.364","","10/01/2014","09/30/2015"
"IL","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.488","","10/01/2014","09/30/2015"
"IN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.582","","10/01/2014","09/30/2015"
"KS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.471","","10/01/2014","09/30/2015"
"KY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.611","","10/01/2014","09/30/2015"
"LA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.771","","10/01/2014","09/30/2015"
"MA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.438","","10/01/2014","09/30/2015"
"MD","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2014","09/30/2015"
"ME","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.739","","10/01/2014","09/30/2015"
"MI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.471","","10/01/2014","09/30/2015"
"MN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.435","","10/01/2014","09/30/2015"
"MO","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.438","","10/01/2014","09/30/2015"
"MP","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"MS","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.635","","10/01/2014","09/30/2015"
"MT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.537","","10/01/2014","09/30/2015"
"NC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.462","","10/01/2014","09/30/2015"
"ND","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.406","","10/01/2014","09/30/2015"
"NE","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.617","","10/01/2014","09/30/2015"
"NH","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.765","","10/01/2014","09/30/2015"
"NJ","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.596","","10/01/2014","09/30/2015"
"NM","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.637","","10/01/2014","09/30/2015"
"NV","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.434","","10/01/2014","09/30/2015"
"NY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.467","","10/01/2014","09/30/2015"
"OH","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.420","","10/01/2014","09/30/2015"
"OK","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.501","","10/01/2014","09/30/2015"
"OR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.419","","10/01/2014","09/30/2015"
"PA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.512","","10/01/2014","09/30/2015"
"PR","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.413","","10/01/2014","09/30/2015"
"RI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.523","","10/01/2014","09/30/2015"
"SC","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.684","","10/01/2014","09/30/2015"
"SD","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.290","","10/01/2014","09/30/2015"
"TN","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.477","","10/01/2014","09/30/2015"
"TX","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.483","","10/01/2014","09/30/2015"
"UT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.387","","10/01/2014","09/30/2015"
"VA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.477","","10/01/2014","09/30/2015"
"VI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","2.484","","10/01/2014","09/30/2015"
"VT","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.450","","10/01/2014","09/30/2015"
"WA","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.407","","10/01/2014","09/30/2015"
"WI","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.396","","10/01/2014","09/30/2015"
"WV","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.421","","10/01/2014","09/30/2015"
"WY","Central line-associated blood stream infections (CLABSI) in ICUs only","HAI_1a_SIR","0.238","","10/01/2014","09/30/2015"
"AK","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.840","","10/01/2014","09/30/2015"
"AL","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.826","","10/01/2014","09/30/2015"
"AR","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.683","","10/01/2014","09/30/2015"
"AS","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2014","09/30/2015"
"AZ","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.571","","10/01/2014","09/30/2015"
"CA","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.574","","10/01/2014","09/30/2015"
"CO","CLABSI Upper Confidence Limit","HAI_1a_CI_UPPER","0.573","","10/01/2014","09/30/2015"
